Id,StartDate,DurationInHours,Location,Link,ImageUrl,Name
-1,26/09/2023,8,Tobermory,https://www.eventbrite.co.uk/e/guided-coastal-walk-to-tobermory-lighthouse-tickets-604001092527?aff=ebdsoporgprofile,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F135148435%2F339635523207%2F1%2Foriginal.20210512-143759?h=2000&w=720&auto=format%2Ccompress&q=75&sharp=10&s=72f57e418b283750ecab76dfcf662e0f,Guided Coastal Walk to Tobermory Lighthouse
-2,21/11/2023,4,Iceland,https://www.meetup.com/travel-buddies-london/events/292994971/,https://secure.meetupstatic.com/photos/event/c/4/2/3/600_512210211.webp?w=384,The Wonders of Iceland
-3,22/11/2023,1,Online,https://www.eventbrite.co.uk/e/whale-track-learning-from-your-sightings-tickets-719275491357?aff=ebdsoporgprofile,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F389207529%2F1211204463783%2F1%2Foriginal.20221108-121522?h=2000&w=720&auto=format%2Ccompress&q=75&sharp=10&s=dc674e37319e1542c3c3464bcf9136ca,Whale Track: Learning from your sightings
-4,07/10/2023,6,Weymouth,https://www.dorsetwildlifetrust.org.uk/events/2023-10-07-marinelife-whale-dolphin-and-seabird-id-course,https://scitechdaily.com/images/Young-Humpback-Whale.jpg,"MARINElife Whale, dolphin and seabird ID course"
-5,28/09/2023,2,City of Gold Coast,https://www.eventbrite.com.au/e/naturallygc-kids-wild-about-whales-tickets-664427569747,https://www.routesnorth.com/wp-content/uploads/2019/11/1-humpback-whale-436120_1280.jpg,NaturallyGC Kids - Wild About Whales
-6,12/12/2023,3,Norway,https://www.visitnorway.com/things-to-do/outdoor-activities/whale-watching/,"https://assets.simpleviewcms.com/simpleview/image/upload/c_fill,g_xy_center,h_702,w_1200,x_604,y_207/f_avif/q_65/v1/clients/norway/Pottwal_2022_03_09_001_95465aa7-c4f3-45da-aae7-83660477a274.jpg?_a=BATCtdAA0",Experience the giants of the sea!
-7,10/01/2024,12,Skjervoy,"https://www.getyourguide.co.uk/skjervoy-l117260/whale-watching-rib-tour-orcas-and-humpbacks-in-skjervoy-t434366?ranking_uuid=2b9ec7fd-e093-4b5b-92c5-9ae5c67d4c12&date_from=2024-01-10&_pc=1,1",https://www.fjordtours.com/media/9115/whale-watching-bus-transfer-4.jpg,Guided Whale Watching
-8,02/02/2024,8,Tromso,https://www.getyourguide.co.uk/tromso-l32375/polar-whale-and-sea-bird-safari-by-boat-from-tromso-t102242/?partner=true&ranking_uuid=2b9ec7fd-e093-4b5b-92c5-9ae5c67d4c12,https://imgcap.capturetheatlas.com/wp-content/uploads/2020/07/Whales-watching-tour-Iceland.jpg,All-Inclusive Whale and Sea Bird Boat Cruise
-9,17/03/2024,4,Skjervoy,https://www.getyourguide.co.uk/skjervoy-l117260/skjervoy-north-of-norway-whale-watching-t439389/?ranking_uuid=2b9ec7fd-e093-4b5b-92c5-9ae5c67d4c12,https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcS_6H_bpzoKHk2WchpnCdHnDUFTCfCPVV-jRq55EdwHjOuLBFQnUQHISeF0Dml8BtvKuhlmj9Iymaq8Aow,Whale Watching Tour by RIB Boat
-10,24/04/2024,6,Ponta Delgada,https://www.getyourguide.co.uk/sao-miguel-island-l1663/whale-dolphin-watching-3-hour-trip-from-sao-miguel-t75560/?date_from=2024-01-10&date_to=2024-01-10&ranking_uuid=2619ee04-26dd-44f6-908e-c35fabbc0a94,https://www.futurismo.pt/wp-content/uploads/2020/01/Magnificent-Whales-The-Princess-Ring-Gallery-1920x1080-V14.jpg,Whale Watching Trip
-11,22/02/2024,6,Sri Lanka,https://www.wildlifeworldwide.com/group-tours/blue-whales-dolphins,https://www.shinagawabeach.com/images/Experiences-Whale-Watching-in-Mirissa-intro-1100x1200-1.jpg,Blue Whales Wildlife #1
-12,01/03/2024,12,Sri Lanka,https://www.wildlifeworldwide.com/group-tours/blue-whales-dolphins,https://whalewatching.navy.lk/assets/template/whale/img/homeAbout.jpg,Blue Whales Wildlife #2
-13,22/11/2025,6,Sri Lanka,https://www.wildlifeworldwide.com/group-tours/blue-whales-dolphins,https://guidetoiceland.imgix.net/240088/x/0/four-species-can-be-regularly-seen-on-whale-watching-tours-from-reykjavik.jpg?auto=format%2Ccompress&crop=faces%2Cedges%2Ccenter&bg=%23fff&fit=crop&q=35&h=1135&dpr=1,Blue Whales Wildlife #4
